"before","after"
"1",2.59881668817252,6.27938165864907
"2",4.07322714105248,3.54498200886883
"3",3.81693699024618,6.65626962389797
"4",1.57162503339350,5.61035546311177
"5",1.42704263795167,6.58266940689646
"6",1.90141262393445,4.88719239784405
"7",4.51673570461571,3.56738872313872
"8",4.63976163044572,3.17273762961850
"9",3.81835013255477,7.55779400654137
"10",4.31393549032509,6.12445039628074
"11",3.23106218222529,7.29057926521637
"12",3.26707640662789,7.59672255907208
"13",4.9570998288691,3.58348488877527
"14",4.18278214335442,3.1944324770011
"15",1.15126007888466,3.19534041988663
"16",3.90166653227061,7.6175876702182
"17",3.53701809793711,3.96727746771649
"18",4.28850199189037,5.24918448948301
"19",2.02426377404481,4.94558601593599
"20",2.0060713943094,3.7008952985052
